case_name,method,selected_count,objective_mape_pct,worst_objective_error_pct,line_loading_mae_pct,voltage_min_mae_pu,selection_time_s,reduced_opf_time_s,full_opf_time_s,time_saving_ratio,scenario_retention_ratio,sample_id,sample_seed
case118,opf_sensitivity,4,1.5030215039986938,4.871061835023585,0.010139953587989236,0.0003412577973241164,0.3027194000005693,1.382778100001815,6.205793800001629,4.48791733105513,0.2222222222222222,5,2030
case118,opf_kkt_active_set,4,2.646382805335384,5.301551108079008,0.017277116398476178,0.0006695250468280949,0.0017924999992828816,1.3491092000003846,6.205793800001629,4.599919561737375,0.2222222222222222,5,2030
case118,kmeans_feature,8,0.5585904527281174,2.7538943084219976,0.004472496137234167,0.0001812708360074596,0.3042094000011275,2.763280700000905,6.205793800001629,2.245806515421903,0.4444444444444444,5,2030
case118,forward_feature,8,0.7839835473072878,3.030747830465439,0.0054306450763903745,0.00032542023462392124,0.0006713999991916353,2.733438400000523,6.205793800001629,2.270325096772052,0.4444444444444444,5,2030
case118,opf_sensitivity,8,0.8303396955248303,4.3000364472576615,0.005643632802490966,0.00027371765697413604,0.3004254999996192,2.7432704999991984,6.205793800001629,2.2621880707729853,0.4444444444444444,5,2030
case118,opf_kkt_active_set,8,0.77538815558653,2.8305277831323297,0.0052992360437385715,0.00019545576783742814,0.001421400000253925,2.7632659999999305,6.205793800001629,2.245818462645936,0.4444444444444444,5,2030
case118,kmeans_feature,12,0.3586861767788336,2.9415954890014584,0.0023851969042897204,0.00011014248505276165,0.3044954000015423,4.082389000001058,6.205793800001629,1.5201377918664833,0.6666666666666666,5,2030
case118,forward_feature,12,0.43081275418340476,3.030747830465439,0.0028085220206463843,0.00012456929072702917,0.0007203000004665228,4.117594499999541,6.205793800001629,1.5071405890022247,0.6666666666666666,5,2030
case118,opf_sensitivity,12,0.27491679803207586,1.5989079035359854,0.0018476674072922033,8.104948523299547e-05,0.2996051999998599,4.121768900000461,6.205793800001629,1.5056142036495386,0.6666666666666666,5,2030
case118,opf_kkt_active_set,12,0.48826923349220114,3.030747830465439,0.002964116625789733,0.00012300727585073327,0.0017167999994853744,4.1669722000006,6.205793800001629,1.4892813059805714,0.6666666666666666,5,2030
case30,kmeans_feature,4,1.1725565605329817,3.8463400358924837,0.9228578922619148,0.0023553632066841443,0.30412129999967874,0.575800500000696,2.6123781000023882,4.536950037381403,0.2222222222222222,6,2031
case30,forward_feature,4,1.1685289075403196,3.8463400358924837,0.8884936820284932,0.0015676219548320905,0.0006273999988479773,0.5718060000017431,2.6123781000023882,4.568644085571723,0.2222222222222222,6,2031
case30,opf_sensitivity,4,1.4353129335977637,3.8388078933886147,0.9575759626318833,0.00494153667895504,0.29110249999939697,0.5701601000000664,2.6123781000023882,4.581832541424915,0.2222222222222222,6,2031
